filename,width,height,class,xmin,ymin,xmax,ymax
images_10.jpg,1108,1478,clubs,355,781,456,874
images_10.jpg,1108,1478,clubs,534,762,632,859
images_10.jpg,1108,1478,clubs,706,695,753,740
images_10.jpg,1108,1478,clubs,706,749,819,835
images_10.jpg,1108,1478,clubs,627,814,736,911
images_10.jpg,1108,1478,clubs,722,868,827,959
images_10.jpg,1108,1478,clubs,550,883,663,973
images_10.jpg,1108,1478,clubs,453,837,548,930
images_10.jpg,1108,1478,clubs,369,897,482,997
images_10.jpg,1108,1478,clubs,420,999,479,1040
images_11.jpg,1108,1478,clubs,489,421,519,461
images_11.jpg,1108,1478,clubs,524,397,606,483
images_11.jpg,1108,1478,clubs,625,412,712,500
images_11.jpg,1108,1478,clubs,615,507,693,587
images_11.jpg,1108,1478,clubs,506,492,582,574
images_11.jpg,1108,1478,clubs,553,550,634,643
images_11.jpg,1108,1478,clubs,491,600,574,692
images_11.jpg,1108,1478,clubs,596,607,700,706
images_11.jpg,1108,1478,clubs,579,714,663,802
images_11.jpg,1108,1478,clubs,474,695,558,787
images_11.jpg,1108,1478,clubs,667,733,708,774
images_12.jpg,1108,1478,spades,453,628,513,697
images_12.jpg,1108,1478,spades,608,576,715,721
images_12.jpg,1108,1478,spades,619,826,725,978
images_12.jpg,1108,1478,spades,622,1095,738,1250
images_12.jpg,1108,1478,spades,829,1106,884,1176
images_13.jpg,1108,1478,diamonds,193,780,251,847
images_13.jpg,1108,1478,diamonds,267,747,336,843
images_13.jpg,1108,1478,diamonds,575,1133,619,1195
images_13.jpg,1108,1478,diamonds,488,1152,555,1235
images_14.jpg,1108,1478,spades,638,709,681,747
images_14.jpg,1108,1478,spades,656,756,727,812
images_14.jpg,1108,1478,spades,324,968,412,1016
images_14.jpg,1108,1478,spades,372,1028,432,1064
images_15.jpg,1108,1478,clubs,525,443,536,459
images_15.jpg,1108,1478,clubs,561,535,571,546
images_15.jpg,1108,1478,clubs,541,526,560,551
images_15.jpg,1108,1478,clubs,514,517,535,542
images_15.jpg,1108,1478,clubs,536,483,558,507
images_15.jpg,1108,1478,clubs,537,443,558,466
images_15.jpg,1108,1478,clubs,562,451,583,476
images_15.jpg,1108,1478,hearts,677,968,686,979
images_15.jpg,1108,1478,hearts,677,980,697,997
